Timestamp,Sensor ID,Value,Description
20250120130723,108901,34,Valve Open
20250120130724,108902,64,NA
20250120130729,108901,45,Valve Open
20250120130803,108901,41,Valve Closed
20250120130824,108902,60,NA
20250120130928,108911,39,Light OK
20250120130952,108912,24,Fire OK
20250120131142,108901,41,Valve Closed
20250120131158,108911,45,Light OK
20250120131209,108913,56,Door Closed
20250120131323,108902,63,NA
20250120130329,108913,24,Valve Open
20250120130343,108912,29,Valve Closed
20250120130424,108950,76,NA
20250120130142,108950,41,Valve Closed
20250120130558,108911,45,Light OK
20250120130609,108913,56,Door Closed
20250120130423,108950,63,NA
